Ticker,Volatility,Mean_Return,Target_MDD,Target_TTR,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Crisis_Type_Dot-Com Bubble,Crisis_Type_Global Financial Crisis
WMT,1.4446065050380665,0.04131087813442108,-0.2619781730194467,1007,False,False,True,False,False,False,False,False,False,False,False,True
WRB,1.9788582423539065,0.07002133990238363,-0.45345695901363037,381,False,False,False,False,True,False,False,False,False,False,False,False
WRB,1.9148579085632325,0.15698942011755404,-0.2865854252495845,22,False,False,False,False,True,False,False,False,False,False,True,False
WRB,2.2156484320231593,0.04161086391080826,-0.42138061684879136,900,False,False,False,False,True,False,False,False,False,False,False,True
WSM,3.2542524113434923,0.16407590324078147,-0.5971327693586737,72,False,True,False,False,False,False,False,False,False,False,False,False
WSM,3.8518413838615913,0.11719656080702774,-0.6382680740056144,407,False,True,False,False,False,False,False,False,False,False,True,False
WSM,3.7969552120953596,0.10175096469463778,-0.8580385912143462,673,False,True,False,False,False,False,False,False,False,False,False,True
WST,2.1822983128604503,0.1083870232646652,-0.5551623690066246,9999,False,False,False,False,False,True,False,False,False,False,False,False
WST,1.8682481735220366,0.0678065976046872,-0.474517824549902,317,False,False,False,False,False,True,False,False,False,False,True,False
WST,1.9873514086299948,0.015367214267791258,-0.451183244178301,9999,False,False,False,False,False,True,False,False,False,False,False,True
WTW,1.8560081576658543,0.039351159219582356,-0.3294556364111996,319,False,False,False,False,True,False,False,False,False,False,False,False
WTW,2.2284446230864607,0.034874460124980355,-0.54234390673559,704,False,False,False,False,True,False,False,False,False,False,False,True
WY,2.652851997341654,0.06765226605145144,-0.5644246731548883,260,False,False,False,False,False,False,False,True,False,False,False,False
WY,2.113677308116284,0.033991862115246615,-0.4935835911588421,1178,False,False,False,False,False,False,False,True,False,False,True,False
WY,2.8975570940815794,0.024489074834160567,-0.7367357886711565,9999,False,False,False,False,False,False,False,True,False,False,False,True
WYNN,3.6614221756403325,0.024717651050487753,-0.7149924370900071,9999,False,True,False,False,False,False,False,False,False,False,False,False
WYNN,4.371022325884291,0.12337165128920577,-0.9066421516822962,775,False,True,False,False,False,False,False,False,False,False,False,True
XEL,1.6669758159448702,0.02415542600944077,-0.2928071555026309,137,False,False,False,False,False,False,False,False,False,True,False,False
XEL,2.695467302525279,0.05603609233291814,-0.8064227283175806,9999,False,False,False,False,False,False,False,False,False,True,True,False
XEL,1.3988449804709393,0.05366369961276222,-0.27267076072458707,410,False,False,False,False,False,False,False,False,False,True,False,True
XOM,2.3462068820337683,0.08336888696003007,-0.5498586479679213,449,False,False,False,True,False,False,False,False,False,False,False,False
XOM,1.5872451073151164,0.04479414376970273,-0.33710207191424535,633,False,False,False,True,False,False,False,False,False,False,True,False
XOM,2.034064559637701,0.02915337561462496,-0.37298662279696226,9999,False,False,False,True,False,False,False,False,False,False,False,True
XYL,2.0842511730582305,0.061772558144910075,-0.46693138090472136,9999,False,False,False,False,False,False,True,False,False,False,False,False
XYZ,4.282794116794253,0.1123698963031997,-0.8608282120560733,9999,False,False,False,False,False,False,False,False,True,False,False,False
YUM,1.7616404819648028,0.047333597338353274,-0.46831512783391677,241,False,True,False,False,False,False,False,False,False,False,False,False
YUM,2.233918794797321,0.10108762743078122,-0.359190377124333,124,False,True,False,False,False,False,False,False,False,False,True,False
YUM,2.0749983951265505,0.0845950727919434,-0.45534574526964017,501,False,True,False,False,False,False,False,False,False,False,False,True
ZBH,2.1040287663357335,0.007971950555781563,-0.49731901322142935,294,False,False,False,False,False,True,False,False,False,False,False,False
ZBH,2.099263868570705,-0.012724857388176572,-0.6202127814025948,9999,False,False,False,False,False,True,False,False,False,False,False,True
ZBRA,2.657582915647435,0.04216019265037139,-0.6778292906583484,9999,False,False,False,False,False,False,False,False,True,False,False,False
ZBRA,2.989434122205342,0.11050226202089693,-0.5089766880153423,785,False,False,False,False,False,False,False,False,True,False,True,False
ZBRA,2.231296215241334,0.022731375019915193,-0.579176242038198,688,False,False,False,False,False,False,False,False,True,False,False,True
ZTS,1.8872296739626462,0.059079440162724824,-0.4652383052821177,9999,False,False,False,False,False,True,False,False,False,False,False,False
